question_number,subject,topic,type,question_text,option_a,option_b,option_c,option_d,correct_option,correct_answer,answer_tolerance,difficulty,exam_year,marks,tags,theory_title,theory_text,needs_review,review_reason
1,General Aptitude,General Aptitude,mcq,"We reached the station late, and _______ missed the train.",near,nearly,utterly,mostly,B,,,Easy,2023,1,PYQ;GATE 2023,,,,
2,General Aptitude,General Aptitude,mcq,Kind : _______ : : Often : Frequently (By word meaning),Mean,Type,Cruel,Kindly,,,,Easy,2023,1,PYQ;GATE 2023,,,yes,official_key_marks_to_all_dropped_question
3,General Aptitude,General Aptitude,mcq,"A series of natural numbers 𝐹1 , 𝐹2 , 𝐹3 , 𝐹4 , 𝐹5 , 𝐹6 , 𝐹7 , … obeys 𝐹𝑛+1 = 𝐹𝑛 + 𝐹𝑛−1 for all integers 𝑛 ≥ 2 . If 𝐹6 = 37, and 𝐹7 = 60, then what is 𝐹1 ?",4,5,8,9,A,,,Easy,2023,1,PYQ;GATE 2023,,,,
4,General Aptitude,General Aptitude,mcq,"A survey for a certain year found that 90% of pregnant women received medical care at least once before giving birth. Of these women, 60% received medical care from doctors, while 40% received medical care from other healthcare providers. Given this information, which one of the following statements can be inferred with certainty?",More than half of the pregnant women received medical care at least once from a doctor.,Less than half of the pregnant women received medical care at least once from a doctor.,More than half of the pregnant women received medical care at most once from a doctor.,Less than half of the pregnant women received medical care at most once from a doctor.,A,,,Easy,2023,1,PYQ;GATE 2023,,,,
5,General Aptitude,General Aptitude,mcq,"Looking at the surface of a smooth 3-dimensional object from the outside, which one of the following options is TRUE?",The surface of the object must be concave everywhere.,The surface of the object must be convex everywhere.,The surface of the object may be concave in some places and convex in other places.,"The object can have edges, but no corners.",C,,,Easy,2023,1,PYQ;GATE 2023,,,,
6,General Aptitude,General Aptitude,mcq,"The country of Zombieland is in distress since more than 75% of its working population is suffering from serious health issues. Studies conducted by competent health experts concluded that a complete lack of physical exercise among its working population was one of the leading causes of their health issues. As one of the measures to address the problem, the Government of Zombieland has decided to provide monetary incentives to those who ride bicycles to work. Based only on the information provided above, which one of the following statements can be logically inferred with certainty?",All the working population of Zombieland will henceforth ride bicycles to work.,Riding bicycles will ensure that all of the working population of Zombieland is free of health issues.,The health experts suggested to the Government of Zombieland to declare riding bicycles as mandatory.,The Government of Zombieland believes that riding bicycles is a form of physical exercise.,D,,,Easy,2023,2,PYQ;GATE 2023,,,,
7,General Aptitude,General Aptitude,mcq,"Consider two functions of time (𝑡), 𝑓(𝑡) = 0.01 𝑡 2 𝑔(𝑡) = 4 𝑡 where 0 < 𝑡 < ∞. Now consider the following two statements: (i) (ii) For some 𝑡 > 0, 𝑔(𝑡) > 𝑓(𝑡). There exists a 𝑇, such that 𝑓(𝑡) > 𝑔(𝑡) for all 𝑡 > 𝑇. Which one of the following options is TRUE?",only (i) is correct,only (ii) is correct,both (i) and (ii) are correct,neither (i) nor (ii) is correct,C,,,Easy,2023,2,PYQ;GATE 2023,,,,
8,General Aptitude,General Aptitude,mcq,"Which one of the following sentence sequences creates a coherent narrative? (i) (ii) (iii) (iv) Once on the terrace, on her way to her small room in the corner, she notices the man right away. She begins to pant by the time she has climbed all the stairs. Mina has bought vegetables and rice at the market, so her bags are heavy. He was leaning against the parapet, watching the traffic below.","(i), (ii), (iv), (iii)","(ii), (iii), (i), (iv)","(iv), (ii), (i), (iii)","(iii), (ii), (i), (iv)",D,,,Easy,2023,2,PYQ;GATE 2023,,,,
9,General Aptitude,General Aptitude,mcq,"f ( x ) and g ( y ) are functions of x and y, respectively, and f ( x ) = g ( y ) for all real values of 𝑥 and 𝑦. Which one of the following options is necessarily TRUE for all x and y?",f ( x ) = 0 and g ( y ) = 0,f ( x ) = g ( y ) = constant,f ( x )  constant and g ( y )  constant,f ( x) + g ( y ) = f ( x) − g ( y ),B,,,Easy,2023,2,PYQ;GATE 2023,,,,
10,General Aptitude,General Aptitude,mcq,"Which one of the options best describes the transformation of the 2-dimensional figure P to Q, and then to R, as shown?",Operation 1: A clockwise rotation by 90º about an axis perpendicular to the plane of the figure Operation 2: A reflection along a horizontal line,Operation 1: A counter clockwise rotation by 90º about an axis perpendicular to the plane of the figure Operation 2: A reflection along a horizontal line,Operation 1: A clockwise rotation by 90º about an axis perpendicular to the plane of the figure Operation 2: A reflection along a vertical line,Operation 1: A counter clockwise rotation by 180º about an axis perpendicular to the plane of the figure Operation 2: A reflection along a vertical line,A,,,Easy,2023,2,PYQ;GATE 2023,,,,
